subject,count
"Dien Bien Phu, Battle of (Điện Biên Phủ, Vietnam : 1954)",227
"Ditch, Battle of the (Medina, Saudi Arabia : 627)",228
"Dograi, Battle of (Dograe, Pakistan : 1965)",229
"Dong Ha, Battle of (Đông Hà, Vietnam : 1972)",230
"Dong Khe, Battle of (Đông Khê, Vietnam : 1950)",231
"Dumlupınar, Battle of (Kütahya İli, Turkey : 1922)",232
Dunblane Massacre (Scotland : 1996),233
"Dunkirk, Battle of (Dunkerque, France : 1940)",234
"Durazzo, Battle of (Durrës, Albania : 1918)",235
Dutch War (1672-1678),236
"Ebelsberg, Battle of (Linz, Austria : 1809)",237
Economic and Financial Conference,238
Ecuador-Peru Conflict (1941),239
Ecuador-Peru Conflict (1981),240
"Edgecote, Battle of (Edgcote, England : 1469)",241
Edinburgh International Festival,242
Edinburgh International Television Festival,243
Eighty Years' War (Netherlands : 1568-1648),244
El Salvador-Honduras Conflict (1969),245
Empire Potato Collecting Expedition to South America,246
"Enzheim, Battle of (Entzheim, France : 1674)",247
Eritrean-Ethiopian War (1998-2000),248
Eruption of Mount Ruapehu (New Zealand : 1969),249
Esposizione internazionale di Roma,250
Esso Longford Gas Plant Accident (Victoria : 1998),251
Etaples Mutiny (France : 1917),252
"European Fine Art Fair (Maastricht, Netherlands)",253
Evacuation and relocation of Japanese Americans (United States : 1942-1945),254
"Evacuation Day (New York, New York : 1783)",255
Evacuation of civilians (1939-1945 : World War),256
Exhibition of Watercolors by American Artists,257
Expédition antarctique belge (1897-1899),258
Expédition antarctique belge (1957-1958),259
Expédition antarctique française,260
Expedition of the Thousand (Italy : 1860),261
Expo (International Exhibitions Bureau),262
Expo (Proposed exposition),263
Expo (Publi Promo Ltd),264
Expo 2000 (Project),265
Exposition internationale,266
Expulsion of the Acadians (Nova Scotia : 1755),267
"Eylau, Battle of (Bagrationovsk, Russia : 1807)",268
Falkland Islands War (1982),269
Famous (Expedition),270
Farmers' Strike (Poland : 1937),271
"Farmers' Week (East Lansing, Michigan)",272
"Farmers' Week (East Lansing, Mighigan)",273
Farmington Mine Disaster (W. Virginia : 1968),274
Farmington Mine Disaster (West Virginia : 1968),275
"Fayette County Fair (Fayette County, Indiana)",276
"Federalist Revolution (Rio Grande do Sul, Brazil : 1893-1895)",277
Festival Film Indonesia,278
Festival Internacional de Poesía de Medellín,279
"Festival international d'art lyrique et de musique (Aix-en-Provence, France)",280
Festival international de jazz de Montréal,281
Festival of Festivals,282
Fetterman Fight (Wyoming : 1866),283
"Fiesta San Antonio (San Antonio, Texas)",284
"Fiesta San Jacinto (San Antonio, Texas)",285
Fifteen Years' War (1591-1606),286
"First Coalition, War of the (1792-1797)",287
"Fishguard, Battle of (Wales : 1797)",288
"Flagstaff All-Indian Pow-Wow (Flagstaff, Arizona)",289
"Flores, Battle of (Azores : 1591)",290
"Fontenoy, Battle of (Hainaut, Belgium : 1745)",291
Forbes Expedition against Fort Duquesne (Pennsylvania : 1758),292
"Fornovo, Battle of (Fornovo di Taro, Italy : 1495)",293
"Fort Sanders, Battle of (Knoxville, Tennessee : 1863)",294
"Fort Stedman, Battle of (Petersburg, Virginia : 1865)",295
Franco-Prussian War (1870-1871),296
Franco-Spanish War (1635-1659),297
"Frankenhausen, Battle of (Bad Frankenhausen, Germany : 1525)",298
"Fredericktown, Battle of (Missouri : 1861)",299
"Freiburg, Battle of (Freiburg im Breisgau, Germany : 1644)",300
French and Indian War (United States : 1754-1763),301
French Revolution Bicentennial (1989),302
"Friedland, Battle of (Pravdinsk, Kaliningradskai︠a︡ oblastʹ, Russia : 1807)",303
Frog Lake Massacre (Alberta : 1885),304
"Frog Lake Massacre (Frog Lake, Alberta : 1885)",305
"Fulton Bag and Cotton Mills Strike (Atlanta, Georgia : 1914-1915)",306
"Funsten Nut Company Strike (Saint Louis, Missouri : 1933)",307
G7 Summit,308
Gardelegen Massacre (Germany : 1945),309
"Garrison Mob (Boston, Massachusetts : 1835)",310
"Gaza, Battles of (Gaza : 1917)",311
General Missionary Conference for South Africa,312
"General Motors do Brasil Strike (São Jose dos Campos, São Paulo, Brazil : 1985)",313
General Strike (Great Britain : 1926),314
"General Strike (Saint Louis, Missouri : 1877)",315
General Strike (Sweden : 1909),316
German reunification question (1949-1990),317
German Tibet Expedition,318
"Germantown, Battle of (Philadelphia, Pennsylvania : 1777)",319
"Gettysburg, Battle of (Pennsylvania : 1863)",320
Gilliam County Fair,321
Gilliam County Fair (Oregon),322
Giro d'Italia (Bicycle race),323
Gnadenhutten Massacre (Ohio : 1782),324
Goldfield Strike (Nevada : 1907),325
Goliad Massacre (Texas : 1836),326
"Goodhue County Fair (Goodhue County, Minnesota)",327
Governor's Capitol Art Exhibition (Wyoming),328
Governor's Conference on Aging (New York),329
Governor's Traffic Safety Conference (California),330
"Grahovac, Battle of (Montenegro : 1858)",331
"Grand Alliance, War of the (1689-1697)",332
Grands Voiliers à Bordeaux (France : 1990),333
Grands voiliers à Bordeaux (Race),334
Greco-Turkish War (1921-1922),335
Greely Relief Expedition (1883),336
Gresford Colliery Disaster (Wales : 1934),337
"Grochów, Battle of (Warsaw, Poland : 1831)",338
Guadalajara Gasoline Explosions (Mexico : 1992),339
"Guadalajara, Battle of (Brihuega, Spain : 1937)",340
"Gualán, Battle of (Guatemala : 1954)",341
"Guararapes, Battle of (Brazil : 1648)",342
"Guararapes, Battle of (Brazil : 1649)",343
Guatemala Earthquake (1976),344
Guayaquil Interview (Ecuador : 1822),345
"Guilin, Battle of (Guangxi Zhuangzu Zizhiqu, China : 1944)",346
Gunpowder Plot (1605),347
"Hakodate, Battle of (Hakodate-shi, Japan : 1868-1869)",348
Halifax Explosion (Nova Scotia : 1917),349
"Hanover, Battle of (York County, Pennsylvania : 1863)",350
Harrisburg Seven Trial (Pennsylvania : 1972),351
Hartford Circus Fire (Connecticut : 1944),352
Haun's Mill Massacre (Missouri : 1838),353
"Haymarket Square Riot (Chicago, Illinois : 1886)",354
"Hejaz (Kingdom).Delegation (Paris Peace Conference, 1919-1920)",355
Hillcrest Mine Disaster (Alberta : 1914),356
"Hollabrunn, Battle of (Hollabrunn, Austria : 1805)",357
"Holocaust, Jewish (1939-1945)",358
Homelessness Marathon,359
Homestead Strike (Pennsylvania : 1892),360
Hone Heke's Rebellion (New Zealand : 1844-1846),361
"Hoti and Gruda, Battle of (Montenegro : 1880)",362
"Huamachuco, Battle of (La Libertad, Peru : 1883)",363
"Hue, Battle of (Hué̂, Vietnam : 1968)",364
Hundred Years' War (1339-1453),365
Hyden Coal Mine Disaster (Kentucky : 1970),366
"Imphal, Battle of (Imphāl, India : 1944)",367
Indian Economic Association.Conference,368
Indian Wars (Comanche : 1859-1860),369
India-Pakistan Conflict (1947-1949),370
India-Pakistan Conflict (1965),371
India-Pakistan Conflict (1971),372
