subject,count
"Ivan III, Reign of (Russia)",226
"Consolidation, Period of (Russia)",227
"Alfonso XII, Reign of (Castile)",228
"Portuguese Rule, Period under (Ghana)",229
"Isabel I, Reign of (Castile)",230
"Venetian Rule, Period under (Cyprus)",231
"Ferdinand and Isabella, Reign of (Spain)",232
"Ferdinand II, Reign of (Aragon)",233
"Civil Wars, Period of (Japan)",234
"John II, Reign of (Portugal)",235
"Bayezid II, Reign of (Turkey)",236
"Richard III, Reign of (Great Britain)",237
"Charles VIII, Reign of (France)",238
"Henry VII, Reign of (Great Britain)",239
"Tudors, Reign of (Great Britain)",240
"James IV, Reign of (Scotland)",241
"John I Albert, Reign of (Poland)",242
"Maximilian I, Reign of (Germany)",243
"Maximilian I, Reign of (Holy Roman Empire)",244
"Manuel, Reign of (Portugal)",245
"Louis XII, Reign of (France)",246
Early Modern and Elizabethan Period,247
Classical Period,248
Early Modern Period,249
"Alexander, Reign of (Poland)",250
"Julius II, Reign of (Papal States)",251
"Ulrich, Reign of (Württemberg)",252
"Sigismund I, Reign of (Poland)",253
"Charles V, Reign of (Belgium)",254
"Charles V, Reign of (Netherlands)",255
"Papal Rule, Period under (Bologna)",256
"Henry VIII, Reign of (Great Britain)",257
"Selim I, Reign of (Turkey)",258
"Leo X, Reign of (Papal States)",259
"James V, Reign of (Scotland)",260
"Francis I, Reign of (France)",261
"Charles I, Reign of (Spain)",262
"Charles V, Reign of (Germany)",263
"Charles V, Reign of (Holy Roman Empire)",264
"Süleyman I, Reign of (Turkey)",265
"John III, Reign of (Portugal)",266
"Ferdinand I, Reign of (Austria)",267
"Frederick I, Reign of (Denmark)",268
"Frederick I, Reign of (Norway)",269
"Clement VII, Reign of (Papal States)",270
"Gustavus I Vasa, Reign of (Sweden)",271
"Ivan IV, Reign of (Russia)",272
"Christian III, Reign of (Denmark)",273
"Spanish Rule, Period under (Lombardy)",274
"Bernese Rule, Period under (Vaud)",275
"Christian III, Reign of (Norway)",276
"Spanish Colony, Period as (Mexico)",277
"Mary Stuart, Reign of (Scotland)",278
"Frederick II, Reign of (Palatinate)",279
"Edward VI, Reign of (Great Britain)",280
"Henry II, Reign of (France)",281
"Sigismund II Augustus, Reign of (Poland)",282
"Christopher, Reign of (Württemberg)",283
"Mary I, Reign of (Great Britain)",284
"French C+B316olony, Reign of (Brazil)",285
"Ferdinand I, Reign of (Germany)",286
"Ferdinand I, Reign of (Holy Roman Empire)",287
"Philip II, Reign of (Spain)",288
"Sebastian, Reign of (Portugal)",289
"Medici Rule, Period under (Siena)",290
"Elizabeth, Reign of (Great Britain)",291
"Francis II, Reign of (France)",292
"Frederick II, Reign of (Denmark)",293
"Eric XIV, Reign of (Sweden)",294
"Charles IX, Reign of (France)",295
"Huguenot Colony, Period as (Florida)",296
"Maximilian II, Reign of (Germany)",297
"Maximilian II, Reign of (Holy Roman Empire)",298
"Spanish Colony, Period as (Florida)",299
"John III, Reign of (Sweden)",300
"James VI, Reign of (Scotland)",301
Azuchi-Momoyama Period (Japan),302
"Turkish Rule, Period under (Cyprus)",303
Interregnum Period (Poland),304
"Elective Monarchy, Period of (Poland)",305
"Henry III, Reign of (Poland)",306
Interregnum Period (Poland),307
"Henry III, Reign of (France)",308
"Murad III, Reign of (Turkey)",309
"Stefan Batory, Reign of (Poland)",310
"Rudolf II, Reign of (Germany)",311
"Rudolf II, Reign of (Holy Roman Empire)",312
"Rudolph II, Reign of (Austria)",313
"Henry I, Reign of (Portugal)",314
"John Casimir, Reign of (Palatinate)",315
"Fyodor I, Reign of (Russia)",316
"Sixtus V, Reign of (Papal States)",317
"Sigismund III, Reign of (Poland)",318
"Christian IV, Reign of (Denmark)",319
"Christian IV, Reign of (Norway)",320
"Henry IV, Reign of (France)",321
"Bourbons, Reign of (France)",322
"Sigismund, Reign of (Sweden)",323
"Clement VIII, Reign of (Papal States)",324
"Mehmed III, Reign of (Turkey)",325
"Maximilian I, Reign of (Bavaria)",326
"Boris Fyodorovich Godunov, Reign of (Russia)",327
"Time of Troubles, Period of the (Russia)",328
Time of Troubles (Russia),329
"Philip III, Reign of (Spain)",330
Colonial Period (United States),331
Edo Period (Japan),332
Tokugawa Period (Japan),333
"James I, Reign of (Great Britain)",334
Early Stuarts Reign (Great Britain),335
Stuarts Reign (Great Britain),336
"Charles IX, Reign of (Sweden)",337
"Paul V, Reign of (Papal States)",338
"Papal Interdict, Period of (Venice)",339
"Marcus Aurelius, Reign of (Rome)",340
"Frederick V, Reign of (Palatinate)",341
"Louis XIII, Reign of (France)",342
"Louis XIII, Reign of (Paris)",343
"Gustavus II Adolphus, Reign of (Finland)",344
"Gustavus II Adolphus, Reign of (Sweden)",345
"Matthias, Reign of (Holy Roman Empire)",346
"Michael, Reign of (Russia)",347
"Ferdinand II, Reign of (Austria)",348
"Ferdinand II, Reign of (Holy Roman Empire)",349
"New Plymouth, Period as (Massachusetts)",350
"Philip IV, Reign of (Spain)",351
"Murad IV, Reign of (Turkey)",352
"Dutch Rule, Period under (Taiwan)",353
"Charles I, Reign of (Great Britain)",354
"Charles I, Reign of (Scotland)",355
"Vladislaus IV Sigismund, Reign of (Poland)",356
"Christina, Reign of (Sweden)",357
"John IV, Reign of (Portugal)",358
"Frederick William, the Great Elector, Reign of (Prussia)",359
"Louis XIV, Reign of (France)",360
"Louis XIV, Reign of (Paris)",361
"Alekseĭ Mikhaĭlovich, Reign of (Russia)",362
"John II Casimir, Reign of (Poland)",363
"Frederick III, Reign of (Denmark)",364
"Frederick III, Reign of (Norway)",365
"Charles Louis, Reign of (Palatinate)",366
"Mehmed IV, Reign of (Turkey)",367
"Commonwealth and Protectorate, Period as (Great Britain)",368
"Charles X Gustavus, Reign of (Finland)",369
"Charles X Gustavus, Reign of (Sweden)",370
"Alfonso VI, Reign of (Portugal)",371
"Leopold I, Reign of (Austria)",372
"Leopold I, Reign of (Holy Roman Empire)",373
"Danish Settlements, Period of (Ghana)",374
"Charles II, Reign of (Great Britain)",375
Restoration Period (Great Britain),376
"Charles XI, Reign of (Sweden)",377
"Kangxi, Reign of (China)",378
"Charles II, Reign of (Spain)",379
"Michael Wisniowiecki, Reign of (Poland)",380
"Turkish Rule, Period under (Crete)",381
"Christian V, Reign of (Denmark)",382
"Christian V, Reign of (Norway)",383
"John III Sobieski, Reign of (Poland)",384
"Fyodor III, Reign of (Russia)",385
"Sofʹi︠a︡ Alekseevna, Reign of (Russia)",386
"Peter II, Reign of (Portugal)",387
"James II, Reign of (Great Britain)",388
"James II, Reign of (Ireland)",389
"Süleyman II, Reign of (Turkey)",390
Genroku Period (Japan),391
"Frederick I, Reign of (Prussia)",392
"William and Mary, Reign of (Great Britain)",393
"Peter I, Reign of (Russia)",394
"Mustafa II, Reign of (Turkey)",395
Interregnum Period (Poland),396
"Charles XII, Reign of (Sweden)",397
"Augustus II, Reign of (Poland)",398
"Frederick IV, Reign of (Denmark)",399
"Frederick IV, Reign of (Norway)",400
"Savoyard and Austrian Rule, Period under (Sicily)",401
"Philip V, Reign of (Spain)",402
"Anne, Reign of (Great Britain)",403
"Ahmed III, Reign of (Turkey)",404
"Stanislaus I Leszczynski, Reign of (Poland)",405
"Joseph I, Reign of (Austria)",406
"Joseph I, Reign of (Holy Roman Empire)",407
"John V, Reign of (Portugal)",408
"Charles VI, Reign of (Austria)",409
"Charles VI, Reign of (Germany)",410
"Frederick William I, Reign of (Prussia)",411
"George I, Reign of (Great Britain)",412
"Austrian Rule, Period under (Lombardy)",413
"Louis XV, Reign of (France)",414
"Ulrika Eleonora, Reign of (Sweden)",415
"Frederick I, Reign of (Sweden)",416
"Yongzheng, Reign of (China)",417
"Catherine I, Reign of (Russia)",418
"Peter II, Reign of (Russia)",419
"George II, Reign of (Great Britain)",420
"Anna, Reign of (Russia)",421
"Christian VI, Reign of (Denmark)",422
"Christian VI, Reign of (Norway)",423
"Mahmud I, Reign of (Turkey)",424
Emigration Period (United States),425
"Augustus III, Reign of (Poland)",426
"Ivan VI, Reign of (Russia)",427
"Maria Theresa, Reign of (Austria)",428
"Frederick II, Reign of (Prussia)",429
"Elizabeth, Reign of (Russia)",430
"Charles VII, Reign of (Holy Roman Empire)",431
"Francis I, Reign of (Holy Roman Empire)",432
"Ferdinand VI, Reign of (Spain)",433
