subject,count
Farmington Mine Disaster (West Virginia : 1968),284
"Fayette County Fair (Fayette County, Indiana)",285
"Federalist Revolution (Rio Grande do Sul, Brazil : 1893-1895)",286
Festival Film Indonesia,287
Festival Internacional de Poesía de Medellín,288
"Festival international d'art lyrique et de musique (Aix-en-Provence, France)",289
Festival international de jazz de Montréal,290
Festival of Festivals,291
Fetterman Fight (Wyoming : 1866),292
"Fiesta San Antonio (San Antonio, Texas)",293
"Fiesta San Jacinto (San Antonio, Texas)",294
Fifteen Years' War (1591-1606),295
"First Coalition, War of the (1792-1797)",296
"Fishguard, Battle of (Wales : 1797)",297
"Flagstaff All-Indian Pow-Wow (Flagstaff, Arizona)",298
"Flores, Battle of (Azores : 1591)",299
"Fontenoy, Battle of (Hainaut, Belgium : 1745)",300
Forbes Expedition against Fort Duquesne (Pennsylvania : 1758),301
"Fornovo, Battle of (Fornovo di Taro, Italy : 1495)",302
"Fort Sanders, Battle of (Knoxville, Tennessee : 1863)",303
"Fort Stedman, Battle of (Petersburg, Virginia : 1865)",304
Franco-Prussian War (1870-1871),305
Franco-Spanish War (1635-1659),306
"Frankenhausen, Battle of (Bad Frankenhausen, Germany : 1525)",307
"Fredericktown, Battle of (Missouri : 1861)",308
"Freiburg, Battle of (Freiburg im Breisgau, Germany : 1644)",309
French and Indian War (United States : 1754-1763),310
French Revolution Bicentennial (1989),311
"Friedland, Battle of (Pravdinsk, Kaliningradskai︠a︡ oblastʹ, Russia : 1807)",312
Frog Lake Massacre (Alberta : 1885),313
"Frog Lake Massacre (Frog Lake, Alberta : 1885)",314
"Fulton Bag and Cotton Mills Strike (Atlanta, Georgia : 1914-1915)",315
"Funsten Nut Company Strike (Saint Louis, Missouri : 1933)",316
G7 Summit,317
Gardelegen Massacre (Germany : 1945),318
"Garrison Mob (Boston, Massachusetts : 1835)",319
"Gaza, Battles of (Gaza : 1917)",320
General Missionary Conference for South Africa,321
"General Motors do Brasil Strike (São Jose dos Campos, São Paulo, Brazil : 1985)",322
General Strike (Great Britain : 1926),323
"General Strike (Saint Louis, Missouri : 1877)",324
General Strike (Sweden : 1909),325
German reunification question (1949-1990),326
German Tibet Expedition,327
"Germantown, Battle of (Philadelphia, Pennsylvania : 1777)",328
"Gettysburg, Battle of (Pennsylvania : 1863)",329
Gilliam County Fair (Oregon),330
Gilliam County Fair,331
Giro d'Italia (Bicycle race),332
Gnadenhutten Massacre (Ohio : 1782),333
Goldfield Strike (Nevada : 1907),334
Goliad Massacre (Texas : 1836),335
"Goodhue County Fair (Goodhue County, Minnesota)",336
Governor's Capitol Art Exhibition (Wyoming),337
Governor's Conference on Aging (New York),338
Governor's Traffic Safety Conference (California),339
"Grahovac, Battle of (Montenegro : 1858)",340
"Grand Alliance, War of the (1689-1697)",341
Grands Voiliers à Bordeaux (France : 1990),342
Grands voiliers à Bordeaux (Race),343
Greco-Turkish War (1921-1922),344
Greely Relief Expedition (1883),345
Gresford Colliery Disaster (Wales : 1934),346
"Grochów, Battle of (Warsaw, Poland : 1831)",347
Guadalajara Gasoline Explosions (Mexico : 1992),348
"Guadalajara, Battle of (Brihuega, Spain : 1937)",349
"Gualán, Battle of (Guatemala : 1954)",350
"Guararapes, Battle of (Brazil : 1648)",351
"Guararapes, Battle of (Brazil : 1649)",352
Guatemala Earthquake (1976),353
Guayaquil Interview (Ecuador : 1822),354
"Guilin, Battle of (Guangxi Zhuangzu Zizhiqu, China : 1944)",355
Gunpowder Plot (1605),356
"Hakodate, Battle of (Hakodate-shi, Japan : 1868-1869)",357
Halifax Explosion (Nova Scotia : 1917),358
"Hanover, Battle of (York County, Pennsylvania : 1863)",359
Harrisburg Seven Trial (Pennsylvania : 1972),360
Hartford Circus Fire (Connecticut : 1944),361
Haun's Mill Massacre (Missouri : 1838),362
"Haymarket Square Riot (Chicago, Illinois : 1886)",363
"Hejaz (Kingdom).Delegation (Paris Peace Conference, 1919-1920)",364
Hillcrest Mine Disaster (Alberta : 1914),365
"Hollabrunn, Battle of (Hollabrunn, Austria : 1805)",366
"Holocaust, Jewish (1939-1945)",367
Homelessness Marathon,368
Homestead Strike (Pennsylvania : 1892),369
Hone Heke's Rebellion (New Zealand : 1844-1846),370
"Hoti and Gruda, Battle of (Montenegro : 1880)",371
"Huamachuco, Battle of (La Libertad, Peru : 1883)",372
"Hue, Battle of (Hué̂, Vietnam : 1968)",373
Hundred Years' War (1339-1453),374
Hyden Coal Mine Disaster (Kentucky : 1970),375
"Imphal, Battle of (Imphāl, India : 1944)",376
Indian Economic Association.Conference,377
Indian Wars (Comanche : 1859-1860),378
India-Pakistan Conflict (1947-1949),379
India-Pakistan Conflict (1965),380
India-Pakistan Conflict (1971),381
Indochinese War (1946-1954),382
"İnönü, Battles of (Bilecik İli, Turkey : 1921)",383
"Insurrection (Peloponnesus, Greece : 1770)",384
Interferenzen (Exhibition),385
"International (Golf tournament : Castle Pines, Colorado)",386
International Antiquarian Book Fair (Antiquarian Booksellers Association of America),387
"International Azalea Festival (Norfolk, Virginia)",388
"International Biennale of Architecture (Kraków, Poland)",389
"International Conference on Asteroids, Comets, Meteors",390
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",391
International Conference on Deaf Culture,392
International Conference on Environmental Education (1977- ),393
International Congress of Hygiene and Demography,394
International Congress of South-East European Research Studies,395
International Congresses for Modern Architecture,396
"International Exhibition of Paintings (Pittsburgh, Pennsylvania)",397
"International Folk Festival (Duluth, Minnesota)",398
International Poetry Festival (1970),399
International Press Exhibition,400
"International Relations Conference (International Peace Garden, Manitoba and North Dakota)",401
"International Relations Conference (International Peace Garden, Manitoba and Notth Dakota)",402
International Women's Decade (1976-1985),403
International Women's Year (1975),404
Intifada (1987-1993),405
Iran Hostage Crisis (1979-1981),406
Iran-Contra Affair (1985-1990),407
Iran-Iraq War (1980-1988),408
Iraq War (2003-2011),409
Iraq-Kuwait Crisis (1990-1991),410
Irish Union (1801),411
"Ishigakibaru, Battle of (Beppu-shi, Japan : 1600)",412
Israel-Arab Border Conflicts (1949-),413
Israel-Arab War (1948-1949),414
Israel-Arab War (1967),415
Israel-Arab War (1973),416
Israeli Intervention in Lebanon (1982-1985),417
Italo-Ethiopian War (1895-1896),418
Italo-Ethiopian War (1935-1936),419
"Itasca County Fair (Itasca County, Minnesota)",420
"Jackson, Battle of (Mississippi :  May 13, 1863)",421
Jacobite Rebellion (1715),422
Jacobite Rebellion (1745-1746),423
Jacquerie (1358),424
"Jankau, Battle of (Jankov, Středočeský kraj, Czech Republic : 1645)",425
"Jaroslawice, Battle of (I︠A︡roslavychi, Ternopilʹsʹka oblastʹ, Ukraine : 1914)",426
"Jersey, Battle of (1781)",427
Jews rescue (1939-1945 : World War),428
"Johnsonville, Battle of (New Johnsonville, Tennessee : 1864)",429
Jonestown Mass Suicide (Guyana : 1978),430
"Juchitán, Battle of (Juchitán de Zaragoza, Mexico : 1866)",431
"Juchitán, Battle of (Mexico : 1866)",432
Jugurthine War (111-105 B.C.),433
June in Buffalo (Festival),434
"Junior Livestock Show (South Saint Paul, Minnesota)",435
"Kalinin, Battle of (Tverʹ, Russia : 1941)",436
Kalmar War (1611-1613),437
Kandiyohi County Fair (Minnesota),438
"Kanizsa, Battle of (Nagykanizsa, Hungary : 1601)",439
Kanto Earthquake (Japan : 1923),440
"Kápolna, Battle of (Heves Megye, Hungary : 1849)",441
"Karameh, Battle of (Karāmah, Jordan : 1968)",442
"Karbalāʼ, Battle of (Iraq : 680)",443
"Karbalāʼ, Battle of (Iraq : 680)",444
Kawanakajima War (1553-1564),445
"Kemmel, Battles of (Belgium : 1918)",446
"Kent State Shootings (Kent, Ohio : 1970)",447
"Kernstown, 1st Battle of (Winchester, Virginia : 1862)",448
Kett's Rebellion (England : 1549),449
"Khafji, Battle of (Raʼs al-Khafjī, Saudi Arabia : 1991)",450
"Kharkov, Battle of (Kharkiv, Ukraine : 1942)",451
"Kharkov, Battle of (Kharkiv, Ukraine : 1943)",452
Kiel Regatta (Germany : 1907),453
Kiel Regatta (Germany : 1914),454
Kieler Woche,455
King Philip's War (1675-1676),456
Kingsport Press Strike (Tennessee : 1963-),457
"Kirchholm, Battle of (Salaspils, Latvia : 1605)",458
Kishiwada Bōseki Kabushiki Kaisha Strike (Japan : 1930),459
"Kliszow, Battle of (Kliszów, Poland : 1702)",460
"Kodziowce, Battle of (Kodzeŭtsy, Belarus : 1939)",461
Kohler Company Strike (Wisconsin : 1954-1960),462
Kolwezi Massacre (Congo : 1978),463
"Königgrätz, Battle of (Sadová, Czech Republic : 1866)",464
"Königsberg, Battle of (Kaliningrad, Kaliningradskai︠a︡ oblastʹ, Russia : 1945)",465
"Konotop, Battle of (Sumsʹka oblastʹ, Ukraine : 1659)",466
Korean resistance movements (1905-1945),467
Korean reunification question (1945- ),468
Korean War (1950-1953),469
"Korička jama Massacre (Korita, Bileća, Bosnia and Hercegovina : 1941)",470
Kosovo War (Serbia : 1998-1999),471
"Kosovo, Battle of (Kosovo : 1389)",472
"Kosovo, Battle of (Kosovo : 1389)",473
"Kosovo, Battle of (Kosovo : 1448)",474
"Kosovo, Battle of (Serbia : 1389) in literature",475
"Kosovo, Battle of (Serbia : 1389)",476
"Kosovo, Battle of (Serbia : 1448)",477
Kotor Mutiny (Montenegro : 1918),478
Krasnodar Trial (Russia : 1943),479
Kristallnacht (1938),480
"Kunersdorf, Battle of (Kunowice, Poland : 1759)",481
Kwangju Piennalle,482
"La Palma, Battle of (Pinar del Río, Cuba : 1896)",483
"La Trinidad, Battle of (Honduras : 1827)",484
"Lagarde, Battle of (Lorraine, France : 1940)",485
"Langemarck, Battle of (Langemark, Belgium : 1914)",486
"Las Carreras, Battle of (Dominican Republic : 1849)",487
"Las Piedras, Battle of (Canelones, Uruguay : 1811)",488
Lausanne Disputation (Switzerland : 1536),489
"Le Hamel, Battle of (Amiens, France : 1918)",490
Leipzig Disputation (Germany : 1519),491
Leipzig Trials (Germany : 1921),492
"Lemberg, Battle of (Lʹviv, Ukraine : 1914)",493
"Lenino, Battle of (Mahili︠o︡ŭskai︠a︡ voblastsʹ, Belarus : 1943)",494
"Leuthen, Battle of (Lutynia, Poland : 1757)",495
"Lexington, Battle of (Missouri : 1861)",496
"Liegnitz, Battle of (Legnickie Pole, Poland : 1241)",497
Lincoln-Douglas Debates (Illinois : 1858),498
Lincoln-Douglas Debates (Illinois : 1858),499
"Little Bighorn, Battle of the (Montana : 1876)",500
Little Rock Expedition (Arkansas : 1863),501
Livonian War (1557-1582),502
London Triathlon,503
"Long Island, Battle of (New York, New York : 1776)",504
"Loos, Battle of (Loos-en-Gohelle, France : 1915)",505
Loray Mill Strike (1929),506
Lord Dunmore's War (1774),507
"Lutsk, Battle of (Lut︠s︡ʹk, Ukraine : 1916)",508
"Macedonian War, 3rd (171-168 B.C.)",509
"Maciejowice, Battle of (Garwolin, Poland : 1794)",510
"Magdala, Battle of (Āmba Maryam, Ethiopia : 1868)",511
"Magnesia, Battle of (Manisa, Turkey : 190 B.C.)",512
Managua Earthquake (Nicaragua : 1972),513
"Mansurah, Battle of (Manṣūrah, Egypt : 1250)",514
"Marasesti, Battle of (Vrancea, Romania : 1917)",515
"Marasti, Battle of (Vrancea, Romania : 1917)",516
Maratha War (1803),517
"March on Washington for Lesbian, Gay, and Bi Equal Rights and Liberation",518
"Marcha por la Vida, la Coca y la Soberanía Nacional (Bolivia : 1994)",519
"Marignano, Battle of (Melegnano, Italy : 1515)",520
Marinette Knitting Mills Strike (Wisconsin : 1951),521
Martinsville Seven Trial (Virginia : 1949),522
Maseru Massacre (Lesotho : 1982),523
Meerut Communist Conspiracy Trial (India : 1929-1933),524
"Melitopol, Battle of (Melitopolʹ, Ukraine : 1943)",525
Metal-Workers' Strike (Germany : 1928-1929),526
Metal-workers' Strike (United States : 1935),527
Mexican War (1846-1848),528
Miners' Revolt (Spain : 1934),529
"Miraflores, Battle of (Lima, Peru : 1881)",530
Miss Black America Pageant of Hudson County (New Jersey),531
"Monastir, Battle of (Bitola, Macedonia : 1912)",532
"Monmouth, Battle of (Freehold, New Jersey : 1778)",533
Monmouth's Rebellion (1685),534
Monongah Mines Disaster (W. Virginia : 1907),535
"Mons, 1st Battle of (Belgium : 1914)",536
"Montdidier, Battle of (Picardy, France : 1918)",537
"Morat, Battle of (Murten, Switzerland : 1476)",538
Moscow Trial (Russia : 1945),539
Moscow Trials (Russia : 1936-1937),540
Moscow Uprising (Russia : 1662),541
"Mossy Creek, Battle of (Jefferson City, Tennessee : 1863)",542
