subject,count
Somalia,1057
Sounds (Geomorphology),1058
South Africa,1059
South America,1060
South Asia,1061
South Atlantic Ocean,1062
South Australia,1063
South Carolina,1064
South Caucasus,1065
South China Sea,1066
South Dakota,1067
South Georgia and South Sandwich Islands,1068
South Orkney Islands,1069
South Pacific Ocean,1070
South Sudan,1071
Southeast Asia,1072
Southern Africa,1073
Southern Hemisphere,1074
Southern Russia,1075
Southern Soviet Union,1076
Southern States,1077
Soviet Union,1078
Space,1079
Space control (Military science),1080
Space sciences,1081
Spain,1082
"Speke Airport (Liverpool, England)",1083
Spillways,1084
Spiral galaxies,1085
Spiritual retreat centers,1086
Spits (Geomorphology),1087
Sports facilities,1088
Springs,1089
Squatter settlements,1090
Sri Lanka,1091
Stagecoach stations,1092
Stars,1093
"Stars, New",1094
State farms,1095
Stations of the Cross,1096
Steppes,1097
Stepwells,1098
Stockholm (Sweden).,1099
Stone circles,1100
Storm water retention basins,1101
Straits,1102
Streets,1103
Subduction zones,1104
Subgiant stars,1105
Subglacial lakes,1106
Submarine fans,1107
Submarine topography,1108
Submarine trenches,1109
Submarine valleys,1110
Submarine volcanoes,1111
Suburbs,1112
Sudan,1113
Summer resorts,1114
Supergiant stars,1115
Supernovae,1116
Surface impoundments,1117
Suriname,1118
Svalbard,1119
Swamps,1120
Swan Creek and Black River Bands of Chippewa Indians,1121
Sweden,1122
Switzerland,1123
Syria,1124
Taiwan,1125
Tajikistan,1126
Tanzania,1127
Tao House (Calif.),1128
Tasmania,1129
Tea gardens,1130
Tea plantations,1131
Telecommunication,1132
Temples,1133
Tennessee,1134
Terres australes et antarctiques françaises,1135
Territorial expansion,1136
Territorial production complexes,1137
Texas,1138
Thailand,1139
Thrust faults (Geology),1140
Tidal basins,1141
Tidal flats,1142
Tien Shan,1143
Timber circles,1144
Time,1145
Timor-Leste,1146
Tin mines and mining,1147
Togo,1148
Tokelau,1149
Toll roads,1150
Tombs,1151
Tonga,1152
"Tourist camps, hostels, etc.",1153
Trade routes,1154
Trading posts,1155
Traffic circles,1156
Trail bike trails,1157
Trailer camps,1158
Trails,1159
Transfrontier conservation areas,1160
Trans-Neptunian objects,1161
Tree farms,1162
Trinidad and Tobago,1163
Tristan da Cunha,1164
Tundras,1165
Tunisia,1166
Tunnels,1167
Turkey,1168
Turkmenistan,1169
Turks and Caicos Islands,1170
Tuvalu,1171
TV 2 (Denmark),1172
Uganda,1173
Ukraine,1174
Underwater tunnels,1175
Union of Ontario Indians,1176
United Arab Emirates,1177
United Arab Republic,1178
United Peorias and Miamies,1179
United States,1180
United States Army Air Defense Artillery Center and Fort Bliss,1181
United States Virgin Islands,1182
United States.,1183
University of Texas System,1184
University of Washington,1185
Uplands,1186
Upwelling (Oceanography),1187
Uranium mines and mining,1188
Uranus (Planet),1189
Urban parks,1190
Uruguay,1191
Utah,1192
Uzbekistan,1193
Vacation homes,1194
Valleys,1195
Vanuatu,1196
Variable stars,1197
Vatican City,1198
Venezuela,1199
Venus (Planet),1200
Vermont,1201
Vernal pools,1202
Viaducts,1203
Victoria,1204
Vietnam,1205
Vietnam (Democratic Republic),1206
Vietnam (Republic),1207
"Villa Orsini (Bomarzo, Italy)",1208
Vineyards,1209
Virginia,1210
Volcanic fields,1211
Volcanoes,1212
Wadis,1213
Wales,1214
Wallis and Futuna,1215
Walls,1216
"Walls, Roman",1217
War memorials,1218
War of 1812,1219
Washington (D.C.),1220
Washington (D.C.) Metropolitan Area,1221
Washington (D.C.) Region,1222
Washington (D.C.) Suburban Area,1223
Washington (State),1224
"Washington Arsenal (Washington, D.C.)",1225
"Washington, George,",1226
Water districts,1227
Water gardens,1228
Water trails,1229
Water tunnels,1230
Waterfalls,1231
Waterfronts,1232
Watersheds,1233
Water-supply,1234
Waterways,1235
Wells,1236
West Africa,1237
West Bank,1238
West Indies,1239
West United States,1240
West Virginia,1241
Western Alps,1242
Western Australia,1243
Western Canada,1244
Western countries,1245
Western Hemisphere,1246
Western Russia,1247
Western Sahara,1248
Western Soviet Union,1249
Western Ukraine,1250
Wetlands,1251
Wharves,1252
Whirlpools,1253
White Earth Band of Chippewa Indians,1254
Wild and scenic rivers,1255
Wilderness areas,1256
Wildlife management areas,1257
Wildlife refuges,1258
Windward Islands,1259
Wine districts,1260
Winter resorts,1261
Wisconsin,1262
Witherite mines and mining,1263
WN stars,1264
World Heritage areas,1265
World heritage areas,1266
World War,1267
Wyoming,1268
"X-ray sources, Galactic",1269
Yellow Sea,1270
Yemen (Republic),1271
"Yihe Yuan (Beijing, China)",1272
Yugoslavia,1273
Yukon,1274
Yukon Territory,1275
Zambezi River Valley,1276
Zambia,1277
Zimbabwe,1278
Zinc mines and mining,1279
Zodiac,1280
Zoos,1281
